nombre,direccion,telefono,instagram,facebook
Taller G Diez S.A.S.,"Cl. 29C #56-75, Guayabal, Medellín, Guayabal, Medellín, Antioquia",'+574481086,https://www.instagram.com/tallergdiez/,http://www.facebook.com/InyeCar
Taller G Diez S.A.S.,"Cl. 29C #56-75, Guayabal, Medellín, Guayabal, Medellín, Antioquia",'+574481086,https://www.instagram.com/tallergdiez/,http://www.facebook.com/InyeCar
autoariosto,"Cra. 65 #65-11, Medellín, Belén, Medellín, Antioquia",'+576045094253,https://www.instagram.com/magos_by_aristi/,http://www.facebook.com/InyeCar
autoariosto,"Cra. 65 #65-11, Medellín, Belén, Medellín, Antioquia",'+576045094253,https://www.instagram.com/magos_by_aristi/,http://www.facebook.com/InyeCar
taller automotriz Monarca,"Frente a la entrada de Makro, calle 44, Av San Juan #66-63, Medellín, Antioquia",'+573005861058,https://www.instagram.com/magos_by_aristi/,http://www.facebook.com/InyeCar
taller automotriz Monarca,"Frente a la entrada de Makro, calle 44, Av San Juan #66-63, Medellín, Antioquia",'+573005861058,https://www.instagram.com/magos_by_aristi/,http://www.facebook.com/InyeCar
taller Sincromax,"Cra. 64 #43 - 37, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+576045061627,https://www.instagram.com/sincromax.medellin/?hl=es,http://www.facebook.com/InyeCar
taller Sincromax,"Cra. 64 #43 - 37, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+576045061627,https://www.instagram.com/sincromax.medellin/?hl=es,http://www.facebook.com/InyeCar
COORDINAUTO TALLER AUTOMOTRIZ,"Cl. 43 #72-64, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+573113875939,https://www.instagram.com/magos_by_aristi/,https://www.facebook.com/p/Coordinauto-Taller-Automotriz-100063817486970/
COORDINAUTO TALLER AUTOMOTRIZ,"Cl. 43 #72-64, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+573113875939,https://www.instagram.com/magos_by_aristi/,https://www.facebook.com/p/Coordinauto-Taller-Automotriz-100063817486970/
Taller Hare Automotriz,"Cra 44 #2771, El Poblado, Medellín, El Poblado, Medellín, Antioquia",'+5744086095,https://www.instagram.com/magos_by_aristi/,https://www.facebook.com/hare.automotriz/?locale=es_LA
Taller Hare Automotriz,"Cra 44 #2771, El Poblado, Medellín, El Poblado, Medellín, Antioquia",'+5744086095,https://www.instagram.com/magos_by_aristi/,https://www.facebook.com/hare.automotriz/?locale=es_LA
Taller Automotriz Juanes,"La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+57572682607,https://www.instagram.com/magos_by_aristi/,http://www.facebook.com/InyeCar
Taller Automotriz Juanes,"La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+57572682607,https://www.instagram.com/magos_by_aristi/,http://www.facebook.com/InyeCar
Zamautos Mecanico Medellin,"Cra. 35 #56-30, Medellín, Villa Hermosa, Medellín, Antioquia",'+573004166436,https://www.instagram.com/zamautosmecanico/,https://www.facebook.com/p/Zamautos-Mec%C3%A1nico-Automotriz-100089284491310/?locale=es_LA
Zamautos Mecanico Medellin,"Cra. 35 #56-30, Medellín, Villa Hermosa, Medellín, Antioquia",'+573004166436,https://www.instagram.com/zamautosmecanico/,https://www.facebook.com/p/Zamautos-Mec%C3%A1nico-Automotriz-100089284491310/?locale=es_LA
Taller Automotriz-Duvan Muñoz,"51, Cra. 52 #11A, Colinas del Sur, Medellín, Antioquia",'+572854622,https://www.instagram.com/tallerduvanmunoz/?hl=es-la,https://www.facebook.com/Desvarese.com2/posts/taller-automotriz-duvan-mu%C3%B1oz-almacen-de-repuestos-especializados-en-repuestos-y/1291643037887451/
Taller Automotriz-Duvan Muñoz,"51, Cra. 52 #11A, Colinas del Sur, Medellín, Antioquia",'+572854622,https://www.instagram.com/tallerduvanmunoz/?hl=es-la,https://www.facebook.com/Desvarese.com2/posts/taller-automotriz-duvan-mu%C3%B1oz-almacen-de-repuestos-especializados-en-repuestos-y/1291643037887451/
Juan Mecánico Experto Automotriz,"Cl. 31 #43-22, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573117930215,https://www.instagram.com/juanmecanicomed/?hl=es,https://www.facebook.com/Juanmecanicomed/
Juan Mecánico Experto Automotriz,"Cl. 31 #43-22, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573117930215,https://www.instagram.com/juanmecanicomed/?hl=es,https://www.facebook.com/Juanmecanicomed/
Mecánico carros fabian,"Cl. 5 Sur #51A - 42, Guayabal, Medellín, Guayabal, Medellín, Antioquia",'+573245917908,https://www.instagram.com/fabian_turbo/?hl=es,http://www.facebook.com/InyeCar
Mecánico carros fabian,"Cl. 5 Sur #51A - 42, Guayabal, Medellín, Guayabal, Medellín, Antioquia",'+573245917908,https://www.instagram.com/fabian_turbo/?hl=es,http://www.facebook.com/InyeCar
Talleres De Mecánica Automotriz,"Cra. 87 #39, Medellín, Belén, Medellín, Antioquia",,https://www.instagram.com/magos_by_aristi/,http://www.facebook.com/InyeCar
Talleres De Mecánica Automotriz,"Cra. 87 #39, Medellín, Belén, Medellín, Antioquia",,https://www.instagram.com/magos_by_aristi/,http://www.facebook.com/InyeCar
TALLER INYE CAR,"Cl 44 #69 05, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+5742309917,https://www.instagram.com/magos_by_aristi/,https://www.facebook.com/InyeCar/?locale=es_LA
TALLER INYE CAR,"Cl 44 #69 05, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+5742309917,https://www.instagram.com/magos_by_aristi/,https://www.facebook.com/InyeCar/?locale=es_LA
Full ejes Medellín,"Cra. 48 # 39-24, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573016760173,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Multicar San Lucas,"Carulla San Lucas, Cl. 20 Sur #27-124, El Poblado, Medellín, El Poblado, Medellín, Antioquia",'+573108396898,https://www.instagram.com/multicar.sas/,https://www.facebook.com/MulticarMedellin/
Taller Main,"Cl. 28 #57 40, Guayabal, Medellín, Guayabal, Medellín, Antioquia",'+576044019659,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller Main,"Cl. 28 #57 40, Guayabal, Medellín, Guayabal, Medellín, Antioquia",'+576044019659,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller Hare Automotriz,"Cra 44 #2771, El Poblado, Medellín, El Poblado, Medellín, Antioquia",'+5744086095,https://instagram.com/tallerautoptimos?utm_medium=copy_link,https://www.facebook.com/hare.automotriz/?locale=es_LA
Taller Hare Automotriz,"Cra 44 #2771, El Poblado, Medellín, El Poblado, Medellín, Antioquia",'+5744086095,https://instagram.com/tallerautoptimos?utm_medium=copy_link,https://www.facebook.com/hare.automotriz/?locale=es_LA
NIPO AUTOS Y CAMPEROS - TALLER MECANICA MEDELLIN,"Calle 44, Av San Juan # 69- 35, Medellín, Antioquia",'+573007838891,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
NIPO AUTOS Y CAMPEROS - TALLER MECANICA MEDELLIN,"Calle 44, Av San Juan # 69- 35, Medellín, Antioquia",'+573007838891,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller de Mecánica | Taller JC Automotriz,"Cl. 51 #71 A – 07, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+573122700491,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller de Mecánica | Taller JC Automotriz,"Cl. 51 #71 A – 07, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+573122700491,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller Los Jimenez,"La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller Los Jimenez,"La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller Automotriz Repar-Cars Medellín,"Cra. 52 # 1-30, Guayabal, Medellín, Guayabal, Medellín, Antioquia",'+573214054614,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller Automotriz Repar-Cars Medellín,"Cra. 52 # 1-30, Guayabal, Medellín, Guayabal, Medellín, Antioquia",'+573214054614,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Casa Mecánica SAS,"Cra. 45 #31 49, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+576045943066,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Casa Mecánica SAS,"Cra. 45 #31 49, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+576045943066,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Zamautos Mecanico Medellin,"Cra. 35 #56-30, Medellín, Villa Hermosa, Medellín, Antioquia",'+573004166436,https://www.instagram.com/zamautosmecanico/,https://www.facebook.com/p/Zamautos-Mec%C3%A1nico-Automotriz-100089284491310/?locale=es_LA
Zamautos Mecanico Medellin,"Cra. 35 #56-30, Medellín, Villa Hermosa, Medellín, Antioquia",'+573004166436,https://www.instagram.com/zamautosmecanico/,https://www.facebook.com/p/Zamautos-Mec%C3%A1nico-Automotriz-100089284491310/?locale=es_LA
Taller Armanautos,"Cl 44 #74-39, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+573108968491,https://www.instagram.com/armanautos/?hl=es,
Taller Armanautos,"Cl 44 #74-39, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+573108968491,https://www.instagram.com/armanautos/?hl=es,
